Cultura,T_Min,T_Max,U_Min,U_Max,V_Max,L_Max
Soja,18,30,55,80,3.0,70000
Milho,18,30,55,80,3.0,70000
Cafe,18,30,60,80,2.5,60000
Cana_de_Acucar,20,35,50,85,4.5,100000
Feijao_Carioca,18,28,60,80,2.5,60000
Algodao,20,32,50,75,4.0,100000
Laranja,18,32,60,80,3.0,70000
Limao_Tahiti,18,32,55,80,3.0,70000
Manga_Palmer,20,33,45,75,4.0,90000
Manga_Tommy,20,33,45,75,4.0,90000
Banana_Prata,22,32,65,85,2.5,80000
Banana_Nanica,22,32,65,85,2.0,80000
Abacaxi,22,34,60,80,3.5,90000
Uva_Niagara,15,30,55,75,2.5,60000
Uva_Italia,15,28,55,75,2.0,60000
Tomate,18,28,60,80,2.0,60000
Batata_Inglesa,15,25,65,85,2.5,45000
Cebola,12,28,50,75,3.0,60000
Alho,12,25,55,75,3.0,40000
Cenoura,10,25,60,80,2.5,50000
Melancia,22,35,50,75,3.5,100000
Melao,22,35,45,70,3.0,90000
Mamao_Papaya,22,32,65,85,2.5,80000
Mamao_Formosa,22,32,65,85,2.5,80000
Maracuja,20,32,60,80,3.0,70000
Morango,15,25,65,85,2.0,50000
Abacate,15,28,60,80,3.5,60000
Goiaba,18,32,60,85,3.0,70000
Tangerina_Ponkan,18,30,60,80,3.0,60000
Caqui,15,28,60,80,2.5,50000
Pessego,12,26,60,80,2.5,50000
Mandioca,20,35,60,90,3.5,90000
Batata_Doce,20,32,60,85,3.0,60000
Pimentao,20,30,65,85,2.0,50000
Abobora_Cabotia,20,32,55,80,3.5,80000
Abobrinha,20,30,60,85,2.5,60000
Alface_Crespa,10,24,70,90,2.0,35000
Alface_Americana,10,22,70,90,2.0,30000
Couve,10,25,70,90,2.5,40000
Rucula,10,22,70,90,2.0,30000
Brocolis,10,22,70,90,2.0,40000
Repolho,10,24,60,85,3.0,50000
Quiabo,22,35,60,80,3.0,70000
Berinjela,20,32,65,85,2.5,60000
Ervilha,12,24,60,80,2.5,45000
Grao_de_Bico,15,30,45,70,3.0,70000
Amendoim,20,33,50,75,3.5,80000
Girassol,18,34,45,70,4.0,100000
Sorgo,22,35,40,75,4.5,100000
Trigo,15,28,55,80,3.0,50000
Aveia_Branca,10,22,60,80,4.0,50000
Cevada,10,24,55,75,4.0,50000
Canola,10,25,50,75,4.0,60000
Triticale,10,24,55,75,4.0,50000
Milheto,25,38,35,65,5.0,100000
Braquiaria,18,35,50,90,5.0,100000
Capim_Mombaca,18,35,55,90,4.5,100000
Capim_Napier,18,35,60,90,4.0,90000
Alfafa,15,30,55,75,3.5,80000
Feijao_Guandu,20,34,45,75,4.0,80000
Palmito_Pupunha,20,32,75,95,3.0,60000
Coco_Anao,22,35,65,90,5.0,100000
Caju,22,35,45,75,4.0,90000
Castanha_do_Para,22,33,70,95,3.0,60000
Noz_Pecan,12,28,55,75,3.5,60000
Seringueira,22,33,70,95,3.0,70000
Cacau,20,32,70,95,2.0,40000
Erva_Mate,15,26,65,90,2.5,40000
Guarana,22,33,70,95,2.5,50000
Pimenta_do_Reino,22,32,70,90,2.0,60000
Pimenta_Biquinho,20,32,60,85,2.5,60000
Pimenta_Malagueta,22,35,55,80,2.5,70000
Gengibre,20,30,70,90,2.0,40000
Urucum,22,34,60,85,3.0,80000
Stevia,18,30,65,85,2.5,60000
Fumo,20,32,60,80,3.0,70000
Chia,15,28,50,75,3.5,80000
Quinoa,10,25,45,70,4.0,90000
Lichia,15,30,65,85,2.5,60000
Pitaya,20,36,40,75,4.0,100000
Acerola,18,34,60,85,3.5,80000
Jabuticaba,15,30,65,90,2.5,60000
Atemoia,18,30,60,85,3.0,70000
Figo,15,32,55,75,3.0,70000
Roma,15,36,35,65,4.5,100000
Salsa,10,25,65,85,2.0,30000
Cebolinha,10,26,65,85,2.0,30000
Coentro,15,30,60,80,2.5,50000
Manjericao,18,32,60,85,2.5,60000
Espinafre,10,22,70,90,2.0,30000
Berinjela,20,30,60,85,2.5,60000
Pepino,20,30,65,85,2.0,50000
Beterraba,10,22,60,80,2.0,40000
Serralha,15,25,60,80,2.0,30000
Chicoria,10,22,65,85,2.0,30000
